country,owner_age,attitude_stable_business_environment,attitude_worried_shutdown,compliance_income_tax,perception_insurance_doesnt_cover_losses,perception_cannot_afford_insurance,personal_income,business_expenses,business_turnover,business_age_years,motor_vehicle_insurance,has_mobile_money,current_problem_cash_flow,has_cellphone,owner_sex,offers_credit_to_customers,attitude_satisfied_with_achievement,has_credit_card,keeps_financial_records,perception_insurance_companies_dont_insure_businesses_like_yours,perception_insurance_important,has_insurance,covid_essential_service,attitude_more_successful_next_year,problem_sourcing_money,marketing_word_of_mouth,has_loan_account,has_internet_banking,has_debit_card,future_risk_theft_stock,business_age_months,medical_insurance,funeral_insurance,motivation_make_more_money,uses_friends_family_savings,uses_informal_lender
1,38.0,1,1,1,1,2,5000.0,97.0,15000.0,15.0,1,1,2,1,0,2,2,2,0,3,4,0,2,3,0,1,1,1,1,1,3.0,2,3,1,3,2
0,35.0,2,1,1,2,2,6000.0,8500.0,11000.0,2.0,2,2,2,1,0,0,2,2,2,3,4,0,0,3,1,1,2,2,2,0,0.0,2,3,1,2,1
1,46.0,1,2,1,0,2,97.0,97.0,97.0,14.0,2,1,2,1,0,2,2,2,0,3,4,0,1,3,0,1,2,2,2,0,3.0,2,3,0,3,2
2,38.0,0,2,0,0,0,80000.0,500000.0,20000.0,6.0,2,1,2,0,1,0,2,2,0,2,2,0,1,3,1,1,2,2,2,0,3.0,2,3,1,2,1
2,42.0,1,1,1,2,1,90000.0,80000.0,170000.0,3.0,2,1,1,1,1,2,2,2,1,3,4,0,1,3,0,1,2,2,2,0,3.0,2,3,1,2,1
1,58.0,1,1,3,0,0,5000.0,37900.0,12100.0,7.0,2,1,2,1,0,2,2,2,0,3,4,0,1,3,0,1,1,1,1,0,3.0,2,3,0,3,2
3,37.0,2,1,1,1,2,5640.0,3000.0,6000.0,3.0,2,1,2,0,1,0,1,2,3,3,3,0,1,3,1,1,2,2,2,0,0.0,2,3,1,2,1
2,43.0,2,2,1,1,2,1095000.0,5000.0,730000.0,5.0,2,2,1,1,0,2,2,0,1,4,4,0,1,3,0,0,2,2,2,0,3.0,2,3,1,2,1
1,61.0,2,2,1,0,0,500.0,97.0,600.0,5.0,2,1,2,1,0,2,2,2,0,3,4,0,1,3,0,1,3,3,1,0,3.0,2,3,1,3,2
0,29.0,2,1,1,2,2,2000.0,1200.0,3000.0,0.0,2,1,2,1,0,0,2,2,0,4,3,0,0,3,1,1,2,2,2,0,8.0,2,3,1,2,1
3,52.0,2,2,0,1,2,12000.0,2400.0,4800.0,4.0,2,1,2,1,0,0,1,2,2,3,4,0,1,3,1,1,2,2,2,0,2.0,2,2,1,2,1
2,40.0,1,1,1,1,1,120000.0,100000.0,150000.0,4.0,1,1,1,1,1,0,1,2,1,3,4,0,1,0,1,1,2,2,1,0,4.0,2,3,0,2,1
0,34.0,2,1,1,1,2,2100.0,4050.0,300.0,1.0,2,1,0,0,0,0,1,2,3,3,4,0,0,3,1,1,2,2,2,0,9.0,2,3,1,4,1
3,50.0,1,1,1,2,2,600.0,3600.0,7200.0,1.0,2,1,2,1,0,2,1,2,0,4,3,0,1,3,1,1,2,2,2,0,0.0,1,2,1,2,1
3,35.0,2,2,1,1,2,100.0,1800.0,1800.0,4.0,2,1,2,1,0,2,2,2,2,4,4,0,1,3,1,1,2,2,2,1,0.0,2,2,1,2,1
0,36.0,2,1,1,1,2,1000.0,1500.0,2500.0,5.0,2,2,0,1,0,0,2,2,3,3,4,0,2,2,1,1,2,2,2,0,3.0,2,2,1,2,1
0,30.0,1,1,3,1,2,2600.0,1200.0,4000.0,2.0,2,1,0,1,1,2,2,2,2,3,4,0,0,3,1,1,2,2,2,0,1.0,2,3,1,2,1
2,29.0,0,1,1,0,0,500000.0,80000.0,100000.0,6.0,2,3,1,0,1,0,2,2,0,2,2,0,1,0,1,0,2,2,2,0,3.0,2,3,1,2,1
2,38.0,1,2,1,0,0,250000.0,30000.0,40000.0,6.0,2,2,1,0,1,2,2,2,0,2,2,0,1,3,0,0,2,2,2,0,3.0,2,3,1,2,1
2,28.0,2,2,1,0,0,150000.0,25000.0,50000.0,3.0,2,1,2,1,0,0,2,2,1,2,4,0,1,3,1,0,2,2,2,0,3.0,2,3,1,1,1
0,45.0,2,2,3,1,1,5000.0,10000.0,17000.0,4.0,2,1,0,1,1,0,2,2,2,3,4,1,1,3,1,1,1,2,2,0,0.0,2,2,1,2,1
2,24.0,2,2,1,1,0,140000.0,600000.0,1680000.0,1.0,2,2,1,0,1,2,1,2,1,2,4,0,1,3,1,0,2,2,2,1,3.0,2,3,0,2,1
0,32.0,2,1,3,1,2,600.0,300.0,320.0,0.0,2,2,0,1,1,0,2,2,2,4,4,0,0,3,1,1,2,2,2,0,4.0,2,3,1,2,1
0,47.0,1,2,1,2,2,6000.0,12280.0,16000.0,5.0,2,1,2,1,1,0,2,2,2,4,4,0,1,3,1,1,2,2,2,0,8.0,2,2,1,2,1
3,35.0,2,1,1,0,0,50.0,840.0,1440.0,1.0,2,1,2,1,0,0,2,2,0,1,3,0,1,3,1,1,2,2,2,0,2.0,2,3,1,2,1
3,32.0,2,1,1,0,0,110.0,1200.0,2400.0,8.0,2,1,2,1,0,2,1,2,3,1,0,0,1,3,1,1,2,2,2,0,0.0,2,3,1,2,1
2,42.0,2,1,3,1,1,37500.0,175000.0,450000.0,5.0,2,1,1,1,1,0,2,2,0,3,4,0,1,3,0,0,2,2,2,1,3.0,2,3,1,2,1
0,78.0,1,2,1,2,2,1000.0,700.0,1500.0,12.0,2,1,2,1,0,2,1,2,3,4,3,0,1,2,1,1,2,2,2,0,5.0,2,3,1,2,1
0,51.0,2,1,1,1,2,1500.0,400.0,600.0,1.0,2,2,2,1,0,2,1,2,0,3,3,0,0,3,1,1,1,2,2,0,5.0,2,3,1,2,1
0,32.0,2,2,1,2,2,2500.0,5000.0,8000.0,2.0,2,2,0,1,0,0,2,2,2,3,4,0,0,3,1,1,2,2,2,0,0.0,2,3,1,2,1
1,48.0,0,1,1,0,0,1000.0,2800.0,6000.0,8.0,2,1,2,1,0,2,2,2,0,3,4,0,1,3,0,1,2,2,2,0,3.0,2,3,0,3,2
1,30.0,2,1,1,0,2,7000.0,300.0,1000.0,5.0,2,1,2,1,0,2,2,2,0,3,4,0,1,3,1,1,3,1,1,1,3.0,2,3,1,3,2
3,29.0,2,2,1,2,2,50.0,240.0,600.0,1.0,2,1,2,0,1,1,1,2,3,4,3,0,1,3,1,1,2,2,2,0,0.0,2,3,1,2,1
3,39.0,1,1,1,2,2,250.0,1800.0,2400.0,3.0,2,1,2,1,0,0,2,2,2,4,4,0,1,3,1,1,2,2,2,0,0.0,2,3,1,2,1
0,41.0,2,1,1,1,2,3000.0,48000.0,108000.0,13.0,2,2,2,1,1,0,1,2,3,3,4,0,1,3,1,1,2,2,2,0,0.0,2,3,1,2,1
1,54.0,0,1,0,0,2,97.0,97.0,97.0,10.0,2,1,2,1,0,2,2,2,0,3,4,0,2,3,0,1,3,3,1,0,3.0,2,3,0,3,2
0,46.0,2,1,3,1,1,45000.0,380000.0,540000.0,4.0,1,2,0,0,0,0,2,2,2,3,4,1,2,3,1,1,2,1,2,0,9.0,1,2,1,2,1
2,54.0,1,1,1,1,1,292000.0,90000.0,250000.0,4.0,2,1,1,0,1,0,1,2,0,3,4,0,1,3,1,0,2,2,2,0,6.0,2,3,1,2,1
3,43.0,2,2,1,1,2,150.0,840.0,960.0,14.0,2,1,2,0,0,2,1,2,0,1,4,0,2,3,1,1,2,2,2,1,0.0,2,2,1,2,1
2,29.0,2,1,1,1,2,6552000.0,5052000.0,6552000.0,3.0,2,1,2,0,1,2,2,2,0,3,4,0,1,3,0,0,2,2,2,0,3.0,2,3,0,1,0
2,30.0,1,2,3,0,0,250000.0,150000.0,250000.0,9.0,2,1,1,1,0,2,2,2,1,2,4,0,1,3,0,0,2,2,2,1,3.0,2,3,1,2,1
2,41.0,1,2,1,1,1,40000.0,8000.0,480000.0,1.0,2,2,1,1,1,2,2,2,0,3,4,0,1,2,1,1,2,2,2,0,3.0,2,3,1,2,1
2,45.0,0,1,1,0,0,250000.0,300000.0,600000.0,25.0,2,2,1,1,0,0,2,2,1,2,2,0,1,3,1,0,2,2,2,1,3.0,2,3,1,2,1
0,85.0,2,1,3,2,1,4500.0,175000.0,300000.0,43.0,2,1,0,1,0,1,2,2,2,3,4,0,1,3,1,1,2,2,1,0,4.0,1,2,1,2,1
2,23.0,2,1,1,2,2,60000.0,3000.0,108000.0,14.0,2,2,1,0,0,0,2,2,0,2,2,0,1,3,0,0,2,2,2,0,3.0,2,3,1,2,1
2,23.0,0,2,1,0,0,100000.0,1000.0,700000.0,3.0,2,2,1,0,0,2,2,2,0,2,2,0,1,3,0,0,2,2,2,0,3.0,2,3,1,2,1
1,70.0,2,1,1,0,0,2000.0,1700.0,2300.0,2.0,2,1,2,1,0,2,2,2,0,3,4,0,0,3,1,1,2,2,2,1,3.0,2,3,0,3,1
1,48.0,2,2,1,1,2,1000.0,800.0,600.0,8.0,2,1,2,1,0,2,2,2,0,3,4,0,1,3,0,1,3,3,1,0,3.0,2,3,1,1,2
2,22.0,2,2,1,0,0,96000.0,500000.0,1152000.0,3.0,2,2,1,0,0,2,2,2,1,2,4,0,1,2,1,0,2,2,2,0,3.0,2,3,1,2,1
2,27.0,0,2,1,0,0,60000.0,30000.0,720000.0,3.0,2,1,1,1,1,0,1,2,0,2,2,0,1,0,0,1,2,2,2,0,3.0,2,3,1,2,1
2,35.0,0,1,1,1,2,900000.0,800000.0,900000.0,4.0,2,1,1,1,1,0,2,2,1,3,4,0,1,3,1,0,2,2,2,1,3.0,2,3,1,2,1
2,39.0,1,1,1,2,2,60000.0,14000.0,18000.0,6.0,2,1,1,1,0,2,2,2,0,4,4,0,1,3,0,0,2,2,2,0,3.0,2,3,1,2,1
1,63.0,2,2,1,0,2,97.0,97.0,97.0,0.0,2,1,2,1,0,2,2,2,0,3,4,0,0,3,1,1,2,2,2,0,3.0,2,3,0,3,2
2,34.0,2,1,1,1,2,1510000.0,14800000.0,18000000.0,12.0,2,1,1,1,0,2,1,2,0,3,4,0,1,3,1,0,2,2,2,1,3.0,2,3,1,2,1
3,20.0,2,1,1,2,1,70.0,7200.0,24000.0,2.0,1,1,2,1,0,0,2,2,2,3,4,0,2,3,1,1,2,2,2,1,6.0,2,2,1,2,1
2,38.0,1,2,1,0,2,1350000.0,112500.0,16200000.0,2.0,2,1,1,1,1,2,2,2,1,2,4,0,1,3,1,1,2,2,1,0,3.0,2,3,0,2,1
1,57.0,1,2,1,2,2,97.0,97.0,97.0,6.0,2,1,2,1,0,2,2,2,0,3,4,0,1,2,1,1,2,2,2,1,3.0,2,3,0,2,2
0,57.0,2,2,3,1,1,50000.0,500000.0,1000000.0,23.0,1,1,2,1,1,1,2,1,2,3,4,1,2,3,1,1,2,2,1,0,11.0,1,2,1,2,1
1,37.0,1,1,3,1,2,35000.0,7000.0,15000.0,1.0,2,1,2,1,0,2,2,2,0,3,4,0,0,3,0,1,3,1,1,0,3.0,2,3,1,3,2
1,23.0,0,2,1,1,2,150.0,80.0,150.0,1.0,2,1,2,1,0,2,2,2,0,3,4,0,0,0,0,1,2,2,2,0,3.0,2,3,0,1,0
0,47.0,1,1,3,1,1,6200.0,1200.0,15000.0,10.0,2,2,0,1,0,0,1,2,2,4,3,0,1,3,1,1,2,2,1,0,8.0,2,2,1,2,1
3,28.0,1,1,1,1,2,50.0,1440.0,5400.0,5.0,2,1,2,0,0,0,1,2,0,3,4,0,1,3,1,1,2,2,2,1,6.0,2,3,1,2,1
